"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","24-Jul-2024","1,001.80","997.80","1,034.25","995.15","1,026.45","1,027.70","1,024.27","1,14,69,098","11,74,74,66,151.50","2,53,508","53,67,271","46.80"
"TATAMOTORS","EQ","25-Jul-2024","1,027.70","1,029.00","1,094.00","1,024.35","1,089.05","1,090.95","1,072.70","3,27,66,835","35,14,88,51,986.10","6,43,962","1,09,08,542","33.29"
"TATAMOTORS","EQ","26-Jul-2024","1,090.95","1,111.95","1,120.50","1,083.60","1,116.05","1,118.30","1,102.42","2,12,32,845","23,40,75,96,444.55","3,50,076","1,07,42,360","50.59"
"TATAMOTORS","EQ","29-Jul-2024","1,118.30","1,124.00","1,139.90","1,118.60","1,124.00","1,124.00","1,126.98","1,18,50,624","13,35,53,95,151.85","2,40,071","64,95,060","54.81"
"TATAMOTORS","EQ","30-Jul-2024","1,124.00","1,125.80","1,179.00","1,118.60","1,162.00","1,161.85","1,159.58","2,85,92,304","33,15,49,78,461.75","4,79,248","1,41,39,055","49.45"
"TATAMOTORS","EQ","31-Jul-2024","1,161.85","1,164.00","1,167.90","1,145.30","1,159.00","1,156.65","1,155.71","1,08,60,623","12,55,17,38,775.95","2,76,733","51,44,004","47.36"
"TATAMOTORS","EQ","01-Aug-2024","1,156.65","1,167.00","1,176.00","1,136.50","1,142.65","1,144.40","1,152.27","1,43,75,948","16,56,50,40,996.00","3,15,403","55,68,898","38.74"
"TATAMOTORS","EQ","02-Aug-2024","1,144.40","1,120.00","1,120.00","1,090.05","1,095.00","1,096.65","1,102.36","2,19,67,812","24,21,64,06,152.15","5,21,622","1,01,21,121","46.07"
"TATAMOTORS","EQ","05-Aug-2024","1,096.65","1,059.95","1,065.00","1,014.05","1,015.45","1,016.45","1,034.68","2,66,51,144","27,57,54,30,534.50","7,74,396","1,27,48,911","47.84"
"TATAMOTORS","EQ","06-Aug-2024","1,016.45","1,030.00","1,060.65","1,008.40","1,018.55","1,013.75","1,032.34","1,67,26,393","17,26,74,02,640.30","5,29,099","55,77,368","33.34"
"TATAMOTORS","EQ","07-Aug-2024","1,013.75","1,036.05","1,040.20","1,015.05","1,027.00","1,025.30","1,022.17","99,78,703","10,19,99,27,148.55","2,70,211","39,50,981","39.59"
"TATAMOTORS","EQ","08-Aug-2024","1,025.30","1,034.95","1,056.40","1,027.00","1,042.00","1,041.75","1,043.95","1,95,29,790","20,38,81,69,431.55","3,98,999","76,93,240","39.39"
"TATAMOTORS","EQ","09-Aug-2024","1,041.75","1,055.00","1,082.95","1,052.05","1,071.00","1,068.10","1,070.33","1,54,43,008","16,52,91,64,246.20","4,03,926","67,34,430","43.61"
"TATAMOTORS","EQ","12-Aug-2024","1,068.10","1,065.00","1,079.90","1,055.00","1,075.40","1,076.15","1,074.62","1,13,11,050","12,15,51,20,942.60","2,83,848","64,59,641","57.11"
"TATAMOTORS","EQ","13-Aug-2024","1,076.15","1,074.85","1,075.50","1,048.20","1,056.35","1,053.45","1,058.44","75,08,231","7,94,69,93,629.20","2,56,317","35,27,153","46.98"
"TATAMOTORS","EQ","14-Aug-2024","1,053.45","1,057.00","1,067.05","1,047.00","1,062.85","1,062.35","1,059.22","82,11,830","8,69,81,60,597.85","3,38,678","40,04,044","48.76"
"TATAMOTORS","EQ","16-Aug-2024","1,062.35","1,072.00","1,099.95","1,070.00","1,098.00","1,098.35","1,088.94","1,14,35,650","12,45,27,12,625.80","3,59,319","56,03,664","49.00"
"TATAMOTORS","EQ","19-Aug-2024","1,098.35","1,105.90","1,107.00","1,085.00","1,090.00","1,087.70","1,091.34","69,11,441","7,54,27,57,858.80","2,15,413","28,99,509","41.95"
"TATAMOTORS","EQ","20-Aug-2024","1,087.70","1,097.00","1,098.05","1,082.05","1,087.00","1,086.90","1,086.98","56,25,723","6,11,50,56,870.40","1,52,463","27,41,475","48.73"
"TATAMOTORS","EQ","21-Aug-2024","1,086.90","1,089.00","1,095.30","1,083.30","1,086.85","1,085.20","1,087.29","48,69,876","5,29,49,53,041.10","1,40,012","25,70,790","52.79"
"TATAMOTORS","EQ","22-Aug-2024","1,085.20","1,090.00","1,094.75","1,064.95","1,072.00","1,068.45","1,073.05","93,77,476","10,06,24,58,859.25","2,13,793","53,87,846","57.46"
"TATAMOTORS","EQ","23-Aug-2024","1,068.45","1,073.00","1,092.60","1,071.00","1,085.35","1,085.15","1,084.19","1,01,79,655","11,03,66,65,762.20","2,12,611","45,84,878","45.04"
