Record Type,Sr No,Name of Security,Typ,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,10,10,100
20,2,1003ICCL28,NX,1,1,100
20,3,1003ISFL28,N4,19,19,100
20,4,1015ECL29,NR,506,346,68.38
20,5,1018GS2026,GS,800,800,100
20,6,1025ICCL26,NT,10,10,100
20,7,1025SCL34,Z8,718,718,100
20,8,1030ICC26,NJ,5,5,100
20,9,1030ICCL28,NM,310,310,100
20,10,1050ISFL28,N5,290,290,100
20,11,1050NFL26,N7,120,120,100
20,12,1050UCL25,N7,50,50,100
20,13,105IIFL29,N7,50,50,100
20,14,1065NFL27,NC,89,89,100
20,15,1075SCL33A,N2,6,6,100
20,16,10CAGL27,N5,373,351,94.1
20,17,10IIFL28,N4,2582,2377,92.06
20,18,10NFL25,N9,10,10,100
20,19,10NIDO26,N6,200,200,100
20,20,10SCL30A,BV,472,360,76.27
20,21,182D071124,TB,700,700,100
20,22,182D120924,TB,200,200,100
20,23,182D141124,TB,1500,1500,100
20,24,182D190924,TB,100,100,100
20,25,182D300125,TB,100,100,100
20,26,20MICRONS,EQ,369586,169204,45.78
20,27,360ONE,EQ,608995,514367,84.46
20,28,364D030425,TB,100,100,100
20,29,364D050924,TB,500,500,100
20,30,364D051224,TB,100,100,100
20,31,364D060325,TB,200,200,100
20,32,364D120924,TB,200,200,100
20,33,364D121224,TB,100,100,100
20,34,364D300125,TB,2500,2500,100
20,35,3IINFOLTD,EQ,716583,337714,47.13
20,36,3MINDIA,EQ,7138,2915,40.84
20,37,574GS2026,GS,109,109,100
20,38,5PAISA,EQ,142134,74573,52.47
20,39,63MOONS,EQ,89928,54938,61.09
20,40,654GS2032,GS,155,155,100
20,41,667GS2035,GS,6,6,100
20,42,667GS2050,GS,1332,1332,100
20,43,68GS2060,GS,371,371,100
20,44,697GR2034,GS,1200,1200,100
20,45,699GS2051,GS,70,70,100
20,46,702GS2027,GS,400,400,100
20,47,702GS2031,GS,100,100,100
20,48,704GS2029,GS,11399,11399,100
20,49,706GS2028,GS,2,1,50
20,50,710GS2029,GS,8212,7912,96.35
20,51,717GS2030,GS,25591,25591,100
20,52,718GS2033,GS,53729,53729,100
20,53,718GS2037,GS,23300,17778,76.3
20,54,71GS2034,GS,2000,2000,100
20,55,723GS2039,GS,100,100,100
20,56,725GS2063,GS,3707,3589,96.82
20,57,726GS2032,GS,20723,20723,100
20,58,727GS2026,GS,11,11,100
20,59,732GS2030,GS,1000,1000,100
20,60,732IRFC25,NI,3,3,100
20,61,733GS2026,GS,210873,141667,67.18
20,62,734GS2064,GS,11600,11600,100
20,63,734IRFC28,N4,49,49,100
20,64,735NABAR31,N1,3,3,100
20,65,736GS2052,GS,200,200,100
20,66,736NTPC25D,NB,5,5,100
20,67,737GS2028,GS,19653,19302,98.21
20,68,738GS2027,GS,63259,63008,99.6
20,69,739NHAI26,N8,769,769,100
20,70,73GS2053,GS,3000,3000,100
20,71,741GS2036,GS,9007,9005,99.98
20,72,743REC35,NH,6,6,100
20,73,746GS2073,GS,2549,2549,100
20,74,74GS2062,GS,3001,3001,100
20,75,750IRFC35,NK,791,791,100
20,76,751HUDCO28,N5,513,510,99.42
20,77,753IRFC30,NJ,400,400,100
20,78,753NTPC30E,NC,20,20,100
20,79,754GS2036,GS,243332,235831,96.92
20,80,759GS2026,GS,9,9,100
20,81,764HUDCO31,N8,40,20,50
20,82,764IRFC31,NO,30,30,100
20,83,769HUDCO31,N9,200,200,100
20,84,769NHAI31,NE,513,513,100
20,85,76NHAI31,NA,154,154,100
20,86,772GS2049,GS,1000,1000,100
20,87,78ABFL33,N4,60,60,100
20,88,79NHIT35,N1,4294,3985,92.8
20,89,79NHIT47,N3,155,155,100
20,90,801TCH25,N4,15,15,100
20,91,812REC27,NI,2666,2666,100
20,92,824GS2027,GS,500,500,100
20,93,825IIFL25,N7,573,500,87.26
20,94,828GS2027,GS,185,185,100
20,95,82GS2025,GS,2,1,50
20,96,82HUDCO27,N2,203,203,100
20,97,82IGT31,NJ,2086,2086,100
20,98,830NHAI27,N2,656,656,100
20,99,833SCFL24,YX,24,24,100
20,100,835SCL23,NN,32,32,100
20,101,83GS2040,GS,310,310,100
20,102,83TCHF25,N6,1,1,100
20,103,840CIFCL28,N4,10,10,100
20,104,842IIFL26,NL,454,454,100
20,105,846REC28,N6,4878,4836,99.14
20,106,847SCL25,Z2,201,201,100
20,107,849NTPC25,N7,120487,118136,98.05
20,108,84TCHF28,NA,450,450,100
20,109,85IIFL25,NO,60,60,100
20,110,860CIFCL28,NG,25,25,100
20,111,865IFL28,NZ,5,5,100
20,112,865IIFL28,NS,550,550,100
20,113,865IRFC29,NA,123,114,92.68
20,114,865LTF26,NN,18,18,100
20,115,865TCAPS27,N8,236,235,99.58
20,116,866SCL25,YP,55,55,100
20,117,86LTF24,NJ,48,28,58.33
20,118,871REC28,N9,1490,1100,73.83
20,119,872MMFSL26,N1,133,133,100
20,120,875NHAI29,N6,1712,1702,99.42
20,121,875PCHFL26,N8,472,472,100
20,122,876HUDCO28,ND,579,491,84.8
20,123,87LTF27,NH,94,94,100
20,124,888IHFL25C,NR,94,94,100
20,125,888IRFC29,NE,450,450,100
20,126,888REC29,NF,144,144,100
20,127,889SCFL27,YC,5,5,100
20,128,889SCL27,YT,168,121,72.02
20,129,891IIFCL34,N4,498,498,100
20,130,891NTPC33,N6,69,69,100
20,131,892NHPC33,N6,90,80,88.89
20,132,892PFCL33,N8,240,240,100
20,133,897MOFSL29,N4,5329,5329,100
20,134,898LTF29,N7,202,200,99.01
20,135,901HUDCO34,NE,323,303,93.81
20,136,901NHB34,N6,230,200,86.96
20,137,902SCL26I,AW,3,1,33.33
20,138,903SFL28,YI,10,10,100
20,139,905SC24B,Z9,8,8,100
20,140,910CAGL25,N7,80,80,100
20,141,910TCAP28,NA,958,958,100
20,142,915SCL26,NE,1,1,100
20,143,915SCL27,Z7,19,19,100
20,144,91D050924,TB,1000,1000,100
20,145,91D071124,TB,200,200,100
20,146,91D120924,TB,100,100,100
20,147,925CAGL26,N9,482,440,91.29
20,148,925ERFL28,N6,100,100,100
20,149,925IHFL25E,N8,500,500,100
20,150,925SCL25C,AR,50,50,100
20,151,92GS2030,GS,5,5,100
20,152,930SFL28,YP,7,7,100
20,153,935LTF29,N5,87,74,85.06
20,154,935MOFSL29,N5,1000,1000,100
20,155,945IFSL25,N4,2,2,100
20,156,948SCL26,N9,158,136,86.08
20,157,94IFCI25,NL,85,85,100
20,158,94SFL28,YL,1235,1235,100
20,159,955SCL27,Z5,2,2,100
20,160,957IIFLS27,NA,101,101,100
20,161,965SCL25A,NF,10,10,100
20,162,965SCL25B,Y1,11,11,100
20,163,96IIFL28,N5,2336,2136,91.44
20,164,96IIFL28A,NF,1064,1023,96.15
20,165,970CAGL28,ND,105,105,100
20,166,971SCL28I,BC,170,75,44.12
20,167,975NFL25,N0,2,2,100
20,168,97MOFSL34,N7,100,100,100
20,169,97SFL26,Z9,50,50,100
20,170,97SFL29,YZ,52,51,98.08
20,171,985ECL28,NK,597,455,76.21
20,172,98ICCL26,NU,10,10,100
20,173,99IFCI24,NH,493,408,82.76
20,174,9IIFL28,Y0,50,50,100
20,175,9IIFL28A,NT,514,514,100
20,176,9MMFSML,N2,150,150,100
20,177,9PCHFL31A,NA,125,125,100
20,178,9SFL25A,ZH,200,200,100
20,179,AAATECH,EQ,53899,16617,30.83
20,180,AADHARHFC,EQ,318688,165249,51.85
20,181,AAREYDRUGS,EQ,99428,66724,67.11
20,182,AARON,EQ,9874,3642,36.88
20,183,AARTECH,EQ,152719,58621,38.38
20,184,AARTIDRUGS,EQ,509837,135968,26.67
20,185,AARTIIND,EQ,1272130,531398,41.77
20,186,AARTIPHARM,EQ,228705,102068,44.63
20,187,AARTISURF,EQ,24695,13661,55.32
20,188,AARTISURF,P1,3,3,100
20,189,AARVI,EQ,61583,41847,67.95
20,190,AATMAJ,SM,22000,16000,72.73
20,191,AAVAS,EQ,63371,42301,66.75
20,192,ABAN,EQ,767015,515645,67.23
20,193,ABB,EQ,141683,68988,48.69
20,194,ABBOTINDIA,EQ,26875,12267,45.64
20,195,ABCAPITAL,EQ,3849329,2079154,54.01
20,196,ABCOTS,SM,2000,2000,100
20,197,ABDL,EQ,1203828,613774,50.99
20,198,ABFRL,EQ,3607768,1503686,41.68
20,199,ABGSEC,EQ,127,111,87.4
20,200,ABINFRA,SM,4000,4000,100
20,201,ABSLAMC,EQ,203848,106937,52.46
20,202,ABSLBANETF,EQ,8329,5677,68.16
20,203,ABSLLIQUID,EQ,9229,9227,99.98
20,204,ABSLNN50ET,EQ,25621,17993,70.23
20,205,ABSLPSE,EQ,206015,190489,92.46
20,206,ABSMARINE,SM,486000,237000,48.77
20,207,ACC,EQ,449614,196456,43.69
20,208,ACCELYA,EQ,7755,4665,60.15
20,209,ACCENTMIC,SM,14500,11000,75.86
20,210,ACCORD,SM,4000,4000,100
